timestep,reward
76032192,0.7995
76224192,0.802
76416192,0.84125
76608192,0.8265
76800192,0.78425
76992192,0.768
77184192,0.785
77376192,0.707
77568192,0.868
77760192,0.7075
77952192,0.81425
78144192,0.77125
78336192,0.8405
78528192,0.78825
78720192,0.811
78912192,0.8115
79104192,0.85025
79296192,0.7835
79488192,0.90575
79680192,0.7555
79872192,0.89525
80064192,0.91
80256192,0.80825
80448192,0.822
80640192,0.763
80832192,0.85125
81024192,0.781
81216192,0.76125
81408192,0.866
81600192,0.82125
81792192,0.91275
81984192,0.78275
82176192,0.82375
82368192,0.768
82560192,0.826
82752192,0.85075
82944192,0.77525
83136192,0.83725
83328192,0.79325
83520192,0.8045
83712192,0.8165
83904192,0.79575
84096192,0.86775
84288192,0.90325
84480192,0.874
84672192,0.78125
84864192,0.84125
85056192,0.76725
85248192,0.8505
85440192,0.77
85632192,0.79175
85824192,0.79525
86016192,0.75675
86208192,0.87825
86400192,0.81125
86592192,0.817
86784192,0.808
86976192,0.819
87168192,0.79675
87360192,0.78625
87552192,0.84025
87744192,0.795
87936192,0.79325
88128192,0.7515
88320192,0.781
88512192,0.79425
88704192,0.862
88896192,0.83925
89088192,0.882
89280192,0.80025
89472192,0.731
89664192,0.87275
89856192,0.80075
90048192,0.83175
90240192,0.92775
90432192,0.9065
90624192,0.79675
90816192,0.77975
91008192,0.8155
91200192,0.8545
91392192,0.7845
91584192,0.892
91776192,0.8015
91968192,0.86375
92160192,0.83575
92352192,0.887
92544192,0.7945
92736192,0.83725
92928192,0.81925
93120192,0.82825
93312192,0.835
93504192,0.67825
93696192,0.83925
93888192,0.792
94080192,0.80825
94272192,0.80325
94464192,0.812
94656192,0.821
94848192,0.8655
95040192,0.748
95232192,0.71475
95424192,0.74025
95616192,0.8845
95808192,0.85325
